Date,Hour,Temperature,Humidity,Wind_speed,Visibility,Dew_point_temperature,Solar_Radiation,Rainfall,Snowfall
2017-12-05,15,-0.7,28,0,2000,-16.9,0,0,0
2017-12-05,16,-0.5,30,0,2000,-16,0,0,0
2017-12-05,17,-1.6,35,0,2000,-15.1,0,0,0
2017-12-05,18,-2.6,40,0,2000,-14.4,0,0,0
2017-12-05,20,-3.5,46,0,2000,-13.4,0,0,0
2017-12-05,21,-3.7,47,0,2000,-13.3,0,0,0
2017-12-05,22,-2.8,49,0,2000,-12,0,0,0
2017-12-05,23,-2.5,59,0,1210,-9.4,0,0,0
2017-12-06,1,-3,79,0,293,-6.1,0,0,0.3
2017-12-06,2,-3,79,0,1862,-6.1,0,0,0.4
2017-12-06,3,-3.2,78,0,1808,-6.4,0,0.2,0.4
2017-12-06,4,-3.4,75,0,1982,-7.2,0,0,0.4
2017-12-06,5,-3.6,76,0,1934,-7.2,0,0,0.4
2017-12-06,9,-3.3,70,0,1324,-7.9,0.25,0,0.2
2017-12-06,10,-0.9,64,0,1224,-6.8,0.63,0,0.2
2017-12-06,13,4.2,47,1.1,1469,-6.1,1.1,0,0
2017-12-06,14,5.5,34,1,1966,-9.1,0.96,0,0
2017-12-06,15,5.5,31,3.1,1968,-10.3,0.72,0,0
2017-12-06,16,5.3,37,2.9,2000,-8.2,0.36,0,0
2017-12-06,17,4.1,60,2.5,1565,-2.9,0.1,0,0
2017-12-06,18,1.7,90,1,66,0.2,0,0.3,0.3
2017-12-06,19,1.2,92,0.7,180,0,0,0,1
2017-12-06,20,1.2,94,0.6,228,0.3,0,0,1
2017-12-06,21,1.1,92,0.5,235,0,0,0.7,1
2017-12-06,22,1.3,92,0.6,233,0.1,0,0,1
2017-12-07,0,1.4,92,0.5,240,0.2,0,0,0.9
2017-12-07,1,1.5,92,0.4,227,0.3,0,0,0.9
2017-12-07,2,1.4,92,0.7,168,0.2,0,0,0.9
2017-12-07,4,1.6,92,0.7,119,0.4,0,0,0.9
2017-12-07,5,1.5,92,1.1,175,0.3,0,0,0.9
2017-12-07,6,1,93,0.5,148,0,0,0,0.9
2017-12-07,7,0.3,93,0.5,173,-0.7,0,0,0.9
2017-12-07,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8
2017-12-07,9,0.1,91,0.8,265,-1.1,0.14,0,0.8
2017-12-07,10,1.1,83,0.7,311,-1.4,0.41,0,0.7
2017-12-07,11,2.3,69,1.7,628,-2.8,0.63,0,0.6
2017-12-07,12,3.7,65,2.4,833,-2.2,0.98,0,0.3
2017-12-07,13,4.1,37,3.1,1767,-9.3,1.14,0,0
2017-12-07,14,4.4,36,2.7,1975,-9.4,1.04,0,0
2017-12-07,15,4,35,3.1,1962,-10.1,0.84,0,0
2017-12-07,16,3.2,38,2.9,1817,-9.7,0.51,0,0
2017-12-07,17,2.1,50,2,1434,-7.2,0.15,0,0
2017-12-07,18,0.7,46,2.7,1558,-9.6,0,0,0
2017-12-07,19,-0.4,47,2.5,1269,-10.3,0,0,0
2017-12-07,20,-1.4,47,2.5,1620,-11.2,0,0,0
2017-12-07,21,-2.2,46,2.2,1975,-12.2,0,0,0
2017-12-07,22,-2.7,48,2.6,1844,-12.2,0,0,0
2017-12-07,23,-3.2,50,2.1,1887,-12.1,0,0,0
2017-12-08,0,-3.5,49,2.6,1893,-12.6,0,0,0
2017-12-08,1,-3.7,50,2.5,1902,-12.6,0,0,0
2017-12-08,2,-4.3,53,1,1918,-12.4,0,0,0
2017-12-08,3,-4.8,52,1.6,1978,-13.1,0,0,0
2017-12-08,4,-5.3,53,2.4,1936,-13.4,0,0,0
2017-12-08,5,-5.8,56,2,1941,-13.1,0,0,0
2017-12-08,6,-6,56,3.5,1853,-13.3,0,0,0
2017-12-08,7,-6.5,57,0.8,1776,-13.6,0,0,0
2017-12-08,8,-7,59,0.8,1559,-13.6,0.01,0,0
2017-12-08,9,-6.7,50,0.9,1492,-15.4,0.23,0,0
2017-12-08,10,-5.3,44,2.8,1516,-15.6,0.63,0,0
2017-12-08,11,-3.7,39,1.4,1595,-15.6,0.93,0,0
2017-12-08,12,-2,30,1.4,1728,-17.3,1.14,0,0
2017-12-08,13,-1.7,28,1.8,1963,-17.8,1.22,0,0
2017-12-08,14,-1.3,27,3.1,1906,-17.9,1.12,0,0
2017-12-08,15,-0.8,26,3.3,1977,-17.9,0.87,0,0
2017-12-08,16,-1.1,24,3.4,2000,-19.1,0.56,0,0
2017-12-08,17,-2.4,30,2.7,2000,-17.6,0.18,0,0
2017-12-08,18,-3.1,33,1.2,2000,-17.1,0,0,0
2017-12-08,19,-3.3,35,1.1,2000,-16.6,0,0,0
2017-12-08,20,-3.3,34,1.5,2000,-16.9,0,0,0
2017-12-08,21,-3.3,35,0.5,2000,-16.6,0,0,0
2017-12-08,22,-3.4,39,1.2,2000,-15.4,0,0,0
2017-12-08,23,-3.5,43,0.9,2000,-14.3,0,0,0
2017-12-09,0,-3.5,48,0.9,1967,-12.9,0,0,0
2017-12-09,1,-4.1,49,0.6,2000,-13.2,0,0,0
2017-12-09,2,-4.7,50,0.7,1983,-13.5,0,0,0
2017-12-09,3,-4.3,47,0.6,1992,-13.9,0,0,0
2017-12-09,4,-4.3,49,0.7,2000,-13.4,0,0,0
2017-12-09,5,-4.7,49,0.8,1999,-13.8,0,0,0
2017-12-09,6,-5.1,53,0.9,1975,-13.2,0,0,0
2017-12-09,7,-5.5,56,0.8,1950,-12.9,0,0,0
2017-12-09,8,-5.4,56,0.7,1940,-12.8,0.01,0,0
2017-12-09,9,-4.7,48,1,1784,-14,0.23,0,0
2017-12-09,10,-2.2,42,1.3,1646,-13.4,0.61,0,0
2017-12-09,11,0,45,1.1,1500,-10.5,0.89,0,0
2017-12-09,12,2.4,40,0.8,1809,-9.8,1.05,0,0
2017-12-09,13,3.9,36,2,1702,-9.8,1.13,0,0
2017-12-09,14,4.7,32,2.2,1948,-10.6,1.06,0,0
2017-12-09,15,5.2,30,2,1963,-11,0.84,0,0
2017-12-09,16,4.4,33,1.6,1963,-10.5,0.4,0,0
2017-12-09,17,3.5,37,1.8,1963,-9.8,0.1,0,0
2017-12-09,18,2.5,41,1,1974,-9.4,0,0,0
2017-12-09,19,1.5,48,0.4,1878,-8.3,0,0,0
2017-12-09,20,0.8,51,1.4,1848,-8.2,0,0,0
2017-12-09,21,-0.1,55,0.7,1654,-8,0,0,0
2017-12-09,22,-0.5,55,0.6,1655,-8.4,0,0,0
2017-12-09,23,-0.1,54,1.3,1570,-8.3,0,0,0
2017-12-10,0,-0.2,55,1,1629,-8.1,0,0,0
2017-12-10,1,-0.2,54,0.5,1747,-8.4,0,0,0
2017-12-10,3,0.3,53,0.5,1748,-8.1,0,0,0
2017-12-10,4,0.4,52,1.6,1816,-8.3,0,0,0
2017-12-10,5,0.3,74,1,178,-3.7,0,0,0.7
2017-12-10,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7
2017-12-10,7,-0.4,92,1.1,121,-1.5,0,0,4
2017-12-10,8,-0.2,90,1.2,378,-1.6,0,0,4.1
2017-12-10,9,0.2,90,1,305,-1.2,0,1.6,4.3
2017-12-10,10,0.5,91,0.4,143,-0.8,0,0,4.3
2017-12-10,11,0.9,92,0.9,137,-0.2,0.03,0,3.9
2017-12-10,12,2.3,88,0.3,245,0.5,0.28,0,3.1
2017-12-10,13,3.3,87,1.1,230,1.3,0.54,0,2.1
2017-12-10,14,4.2,85,0.7,325,1.8,0.65,0,1.4
2017-12-10,15,6.7,63,4.5,715,0.1,0.35,0,1
2017-12-10,16,5.4,71,3.5,622,0.5,0.2,0,0.5
2017-12-10,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4
2017-12-10,18,2,61,3,2000,-4.7,0,0,0
2017-12-10,19,1.6,53,4,2000,-6.9,0,0,0
2017-12-10,20,0.6,57,3.9,1954,-6.9,0,0,0
2017-12-10,21,0,59,3,1862,-7,0,0,0
2017-12-10,22,-1,56,4.7,2000,-8.6,0,0,0
2017-12-10,23,-1.4,43,4.3,2000,-12.3,0,0,0
2017-12-11,0,-2.5,39,3.4,2000,-14.5,0,0,0
2017-12-11,1,-3.4,36,3.8,2000,-16.3,0,0,0
2017-12-11,2,-4.2,35,3.4,2000,-17.4,0,0,0
2017-12-11,3,-4.7,38,2.4,2000,-16.8,0,0,0
2017-12-11,4,-5.2,35,3.2,2000,-18.3,0,0,0
2017-12-11,5,-5.6,38,3.2,1974,-17.6,0,0,0
2017-12-11,7,-6,39,3.1,1996,-17.7,0,0,0
2017-12-11,8,-6,38,3.6,1994,-18,0.01,0,0
2017-12-11,9,-5.9,36,5.1,1941,-18.6,0.1,0,0
2017-12-11,10,-5.3,32,4.5,2000,-19.4,0.62,0,0
2017-12-11,11,-4.7,36,3.8,2000,-17.5,1,0,0
2017-12-11,12,-5.2,33,4.6,1973,-19,1.26,0,0
2017-12-11,13,-5.4,32,5.1,1986,-19.5,1.24,0,0
2017-12-11,14,-5.4,31,4.1,1945,-19.9,1.13,0,0
2017-12-11,15,-5.5,33,4.5,2000,-19.2,0.92,0,0
2017-12-11,16,-6,40,4,2000,-17.4,0.55,0,0
2017-12-11,17,-7.1,44,4.2,2000,-17.3,0.18,0,0
2017-12-11,18,-7.9,43,3.3,2000,-18.3,0,0,0
2017-12-11,19,-8.6,45,3.9,2000,-18.4,0,0,0
2017-12-11,20,-9.3,49,3.8,2000,-18,0,0,0
2017-12-11,21,-9.7,51,2.5,2000,-17.9,0,0,0
2017-12-11,22,-10.2,50,3,2000,-18.6,0,0,0
2017-12-11,23,-10.7,53,1.2,2000,-18.4,0,0,0
2017-12-12,0,-11,51,1.1,2000,-19.1,0,0,0
2017-12-12,1,-11.2,51,1.1,2000,-19.3,0,0,0
2017-12-12,2,-11.5,50,0.7,2000,-19.8,0,0,0
2017-12-12,3,-11.6,50,2.2,1995,-19.9,0,0,0
2017-12-12,4,-11.6,47,2.1,1982,-20.6,0,0,0
2017-12-12,5,-11.6,45,2.8,1951,-21.1,0,0,0
2017-12-12,6,-11.8,47,2.5,1973,-20.8,0,0,0
2017-12-12,7,-12.1,50,2.3,1929,-20.4,0,0,0
2017-12-12,8,-12.3,52,1.3,1914,-20.1,0,0,0
2017-12-12,9,-11.8,46,2.9,1956,-21.1,0.1,0,0
2017-12-12,10,-10.5,45,3.3,1855,-20.1,0.6,0,0
2017-12-12,11,-9.4,42,3.1,1815,-19.9,0.93,0,0
2017-12-12,12,-8.3,35,2.9,1967,-21,1.14,0,0
2017-12-12,13,-6.9,37,2.4,1955,-19.1,1.22,0,0
2017-12-12,14,-5.4,32,2,1930,-19.5,1.12,0,0
2017-12-12,15,-5.8,30,2.8,2000,-20.6,0.92,0,0
2017-12-12,16,-6,29,2.8,1983,-21.2,0.58,0,0
2017-12-12,17,-7,32,2.6,2000,-20.9,0.19,0,0
2017-12-12,18,-7.7,36,1,2000,-20.2,0,0,0
2017-12-12,19,-8.2,43,1.1,2000,-18.5,0,0,0
2017-12-12,20,-8.4,42,1,2000,-19,0,0,0
2017-12-12,21,-8.8,43,1.4,1999,-19.1,0,0,0
2017-12-12,22,-9,45,1.3,1999,-18.7,0,0,0
2017-12-12,23,-9.3,47,2.1,2000,-18.5,0,0,0
2017-12-13,0,-9.5,48,1.3,1996,-18.4,0,0,0
2017-12-13,1,-10.2,52,1.6,1997,-18.2,0,0,0
2017-12-13,2,-10.4,53,1.8,1949,-18.1,0,0,0
2017-12-13,3,-10.9,55,1.8,1913,-18.1,0,0,0
2017-12-13,4,-11.4,58,1.3,1907,-18,0,0,0
2017-12-13,5,-11.5,58,1.1,1923,-18.1,0,0,0
2017-12-13,6,-11.9,57,1.1,1974,-18.7,0,0,0
2017-12-13,8,-11.4,47,3.3,2000,-20.4,0,0,0
2017-12-13,9,-11.1,46,3.4,1981,-20.4,0.1,0,0
2017-12-13,10,-9.5,39,2.1,1875,-20.9,0.6,0,0
2017-12-13,11,-8.1,35,1.8,1806,-20.9,0.96,0,0
2017-12-13,12,-6.5,30,2.9,1945,-21.2,1.17,0,0
2017-12-13,13,-5.8,28,2.9,1887,-21.4,1.23,0,0
2017-12-13,14,-4.7,27,2.9,1883,-20.8,1.12,0,0
2017-12-13,15,-4.9,26,3.1,1887,-21.5,0.89,0,0
2017-12-13,16,-4.5,26,2.2,2000,-21.1,0.56,0,0
2017-12-13,17,-5.6,29,1.7,2000,-20.8,0.18,0,0
2017-12-13,18,-6.6,33,1.1,2000,-20.2,0,0,0
2017-12-13,19,-6.6,31,1.6,2000,-20.9,0,0,0
2017-12-13,21,-8.3,39,1,2000,-19.8,0,0,0
2017-12-13,22,-8.9,39,0.1,2000,-20.3,0,0,0
2017-12-13,23,-9.2,44,0.4,1978,-19.2,0,0,0
2017-12-14,2,-10.6,44,0.8,1903,-20.5,0,0,0
2017-12-14,4,-11,50,0.8,1718,-19.4,0,0,0
2017-12-14,5,-10.8,48,0.8,1648,-19.6,0,0,0
2017-12-14,6,-11,55,0.8,1541,-18.2,0,0,0
2017-12-14,7,-10.9,57,1.1,1387,-17.7,0,0,0
2017-12-14,8,-10.4,54,1.1,1432,-17.9,0.01,0,0
2017-12-14,9,-9.4,44,0.5,1680,-19.4,0.13,0,0
2017-12-14,10,-7.7,43,0.9,1555,-18.1,0.35,0,0
2017-12-14,11,-6.1,38,1,1587,-18.1,0.52,0,0
2017-12-14,12,-4.9,34,1.3,1768,-18.3,0.6,0,0
2017-12-14,13,-3.8,32,0.9,1827,-18.1,0.52,0,0
2017-12-14,14,-2.7,28,0.7,1857,-18.7,0.65,0,0
2017-12-14,15,-2.5,29,1.1,1667,-18.1,0.48,0,0
2017-12-14,16,-2.4,28,0.9,1878,-18.4,0.35,0,0
2017-12-14,17,-2.9,31,0.6,1723,-17.7,0.09,0,0
2017-12-14,18,-3.5,35,1.1,1414,-16.7,0,0,0
2017-12-14,19,-4.2,40,0.9,1216,-15.8,0,0,0
2017-12-14,20,-4.8,43,1.1,1397,-15.4,0,0,0
2017-12-14,21,-4.8,45,0.8,1351,-14.9,0,0,0
2017-12-14,22,-4.9,44,1.1,1369,-15.3,0,0,0
2017-12-14,23,-5.6,53,1.2,1290,-13.6,0,0,0
2017-12-15,0,-5.7,53,0.6,1262,-13.7,0,0,0
2017-12-15,1,-6.3,57,0.4,1148,-13.4,0,0,0
2017-12-15,2,-6.8,58,0.4,1089,-13.6,0,0,0
2017-12-15,3,-6.9,56,0.5,1111,-14.2,0,0,0
2017-12-15,4,-7.1,59,0.8,1058,-13.7,0,0,0
2017-12-15,5,-7.5,64,0.9,989,-13.1,0,0,0
2017-12-15,6,-7.4,64,0.7,906,-13,0,0,0
2017-12-15,7,-7,63,0.6,865,-12.8,0,0,0
2017-12-15,8,-6.6,64,1.1,791,-12.2,0,0,0
2017-12-15,9,-5.9,60,0.6,691,-12.4,0.09,0,0
2017-12-15,10,-4.6,52,0.8,648,-12.9,0.34,0,0
2017-12-15,11,-2.9,46,1,809,-12.9,0.42,0,0
2017-12-15,12,-2.5,43,0.7,895,-13.3,0.34,0,0
2017-12-15,13,-1.6,40,0.3,868,-13.4,0.32,0,0
2017-12-15,14,-0.7,39,0.8,826,-12.9,0.35,0,0
2017-12-15,15,0.1,35,1.5,946,-13.5,0.42,0,0
2017-12-15,16,0,37,0.6,994,-12.9,0.13,0,0
2017-12-15,17,-0.2,39,0.8,1016,-12.5,0,0,0
2017-12-15,18,0.1,43,0.9,1485,-11,0,0,0
2017-12-15,19,0.6,41,1.2,1550,-11.1,0,0,0
2017-12-15,20,0.9,42,1.2,1113,-10.5,0,0,0
2017-12-15,21,0.7,47,2.7,1283,-9.3,0,0,0
2017-12-15,22,-0.1,49,2,870,-9.5,0,0,0
2017-12-15,23,-1.3,60,2.5,792,-8,0,0,0
2017-12-16,0,-2.6,73,3.4,787,-6.7,0,0,0
2017-12-16,1,-3.4,76,2.9,582,-7,0,0,0
2017-12-16,3,-4.5,71,1.6,651,-8.9,0,0,0
2017-12-16,4,-5,70,2.7,702,-9.6,0,0,0
2017-12-16,5,-5.6,72,2,662,-9.8,0,0,0
2017-12-16,6,-6.1,69,2.9,765,-10.8,0,0,0
2017-12-16,7,-6.7,64,2.1,977,-12.3,0,0,0
2017-12-16,8,-7.3,62,2.6,1112,-13.3,0,0,0
2017-12-16,9,-7.2,47,2.8,1724,-16.6,0.18,0,0
2017-12-16,10,-6.2,42,2.3,1893,-17,0.52,0,0
2017-12-16,11,-5.2,30,4,1991,-20.1,0.86,0,0
2017-12-16,12,-4.1,28,3.8,1998,-19.9,1.08,0,0
2017-12-16,13,-3.7,23,4,1980,-21.8,1.12,0,0
2017-12-16,14,-3.4,22,4.3,1966,-22.1,1.07,0,0
2017-12-16,16,-3.3,24,3.5,2000,-21,0.54,0,0
2017-12-16,17,-4.6,26,2.6,2000,-21.2,0.17,0,0
2017-12-16,18,-5.3,28,3.5,2000,-21,0,0,0
2017-12-16,19,-6,32,2.4,2000,-20,0,0,0
2017-12-16,20,-6.6,37,3.4,2000,-18.9,0,0,0
2017-12-16,21,-7.1,39,3.2,2000,-18.7,0,0,0
2017-12-16,23,-8,41,2.2,2000,-18.9,0,0,0
2017-12-17,0,-8.1,41,2,2000,-19,0,0,0
2017-12-17,2,-8.7,40,2.8,2000,-19.8,0,0,0
2017-12-17,3,-9,40,3.1,2000,-20.1,0,0,0
2017-12-17,4,-9.5,40,1.9,2000,-20.6,0,0,0
2017-12-17,5,-9.7,41,3.1,2000,-20.5,0,0,0
2017-12-17,6,-9.9,42,2.3,2000,-20.4,0,0,0
2017-12-17,7,-10.2,42,2.3,2000,-20.6,0,0,0
2017-12-17,9,-10.5,38,1.1,1950,-22.1,0.19,0,0
2017-12-17,10,-8.5,31,1.5,1997,-22.6,0.58,0,0
2017-12-17,11,-7.2,29,1.8,1926,-22.2,0.88,0,0
2017-12-17,12,-4.9,25,2.6,1966,-21.9,1.08,0,0
2017-12-17,13,-4.5,25,3.2,1989,-21.6,1.14,0,0
2017-12-17,14,-3.2,26,3.1,1933,-20,1.07,0,0
2017-12-17,15,-2.5,28,2,2000,-18.5,0.85,0,0
2017-12-17,16,-2.7,31,2.3,2000,-17.5,0.54,0,0
2017-12-17,17,-3.8,35,2.4,2000,-17,0.17,0,0
2017-12-17,18,-4.7,37,1.8,2000,-17.2,0.01,0,0
2017-12-17,19,-5.6,39,1.1,2000,-17.3,0,0,0
2017-12-17,20,-6,42,0.8,2000,-16.8,0,0,0
2017-12-17,21,-6.5,45,0.7,2000,-16.4,0,0,0
2017-12-17,23,-6.9,53,0.7,2000,-14.8,0,0,0
2017-12-18,0,-5.9,50,0.6,2000,-14.6,0,0,0
2017-12-18,1,-5.3,48,0.4,1664,-14.6,0,0,0
2017-12-18,2,-5,65,0.4,990,-10.5,0,0,0.2
2017-12-18,3,-5.3,76,1,767,-8.8,0,0.3,0.5
2017-12-18,4,-5.4,81,0.7,270,-8.1,0,0,0.7
2017-12-18,5,-5.3,81,0.9,923,-8,0,0,0.8
2017-12-18,6,-5.2,85,0.9,271,-7.3,0,0.4,1.3
2017-12-18,7,-5,85,0.7,186,-7.1,0,0,1.8
2017-12-18,8,-4.6,86,1.2,508,-6.5,0,0,2
2017-12-18,10,-3.7,87,1,541,-5.5,0.03,0,4.8
2017-12-18,11,-2.9,85,1.2,243,-5,0.06,0,4.8
2017-12-18,12,-1.8,83,1.2,351,-4.3,0.09,1.1,5.1
2017-12-18,13,-0.9,84,1.2,333,-3.2,0.09,0,5
2017-12-18,14,0.5,76,0.9,364,-3.2,0.17,0,4.2
2017-12-18,15,1.6,73,0.9,421,-2.7,0.6,0,3.2
2017-12-18,16,1.8,76,0.8,410,-1.9,0.47,0,2.7
2017-12-18,17,0.4,84,0.8,317,-1.9,0.15,0,2.7
2017-12-18,18,0,88,0.6,277,-1.7,0,0,2.7
2017-12-18,19,1.3,65,1.1,1122,-4.5,0,0,2.7
2017-12-18,20,3.3,65,3.2,1172,-2.6,0,0,2.7
2017-12-18,21,2.8,73,2.4,831,-1.5,0,0,2.6
2017-12-18,22,1.5,82,2.4,537,-1.2,0,0,2.6
2017-12-18,23,0.1,81,2.9,551,-2.7,0,0,2.6
2017-12-19,0,-1,73,2.3,881,-5.2,0,0,2.6
2017-12-19,1,-2,72,0.8,979,-6.3,0,0,2.6
2017-12-19,2,-2.7,72,0.9,990,-7,0,0,2.6
2017-12-19,4,-2.9,59,1.8,1286,-9.8,0,0,2.6
2017-12-19,5,-3.9,66,0.7,1209,-9.3,0,0,2.6
2017-12-19,6,-4.3,70,1.6,1169,-8.9,0,0,2.6
2017-12-19,7,-4.4,64,2.8,1367,-10.1,0,0,2.6
2017-12-19,8,-5.2,58,2.2,1594,-12.1,0,0,2.5
2017-12-19,9,-5.3,48,2.6,1810,-14.6,0.18,0,2.5
2017-12-19,10,-4.6,41,2.8,1815,-15.8,0.57,0,2.5
